"created_at","stage"
"2023-07-07 16:00:00","3"
"2023-07-07 5:00:00","1"
"2023-07-07 0:00:00","0"
"2023-07-06 16:00:00","3"
"2023-07-06 5:00:00","1"
"2023-07-06 0:00:00","0"
"2023-07-05 16:00:00","3"
"2023-07-05 5:00:00","1"
"2023-07-05 0:00:00","0"
"2023-07-04 16:00:00","3"
"2023-07-04 0:00:00","0"
"2023-07-03 16:00:00","3"
"2023-07-03 0:00:00","0"
"2023-07-02 16:00:00","3"
"2023-07-02 0:00:00","0"
"2023-07-01 16:00:00","3"
"2023-07-01 0:00:00","0"
"2023-06-30 16:00:00","3"
"2023-06-30 5:00:00","1"
"2023-06-30 0:00:00","0"
"2023-06-29 16:00:00","3"
"2023-06-29 5:00:00","1"
"2023-06-29 0:00:00","0"
"2023-06-28 16:00:00","3"
"2023-06-28 7:00:00","2"
"2023-06-28 0:00:00","0"
"2023-06-27 16:00:00","3"
"2023-06-27 0:00:00","0"
"2023-06-26 16:00:00","3"
"2023-06-26 0:00:00","0"
"2023-06-25 16:00:00","3"
"2023-06-25 5:00:00","1"
"2023-06-25 0:00:00","0"
"2023-06-24 16:00:00","3"
"2023-06-24 5:00:00","1"
"2023-06-24 0:00:00","0"
"2023-06-23 16:00:00","3"
"2023-06-23 0:00:00","0"
"2023-06-22 16:00:00","3"
"2023-06-22 0:00:00","0"
"2023-06-21 16:00:00","3"
"2023-06-21 0:00:00","0"
"2023-06-20 16:00:00","3"
"2023-06-20 0:00:00","0"
"2023-06-19 16:00:00","3"
"2023-06-19 0:00:00","0"
"2023-06-18 16:00:00","3"
"2023-06-18 0:00:00","0"
"2023-06-17 16:00:00","3"
"2023-06-17 0:00:00","0"
"2023-06-16 16:00:00","3"
"2023-06-16 0:00:00","0"
"2023-06-15 16:00:00","3"
"2023-06-15 0:00:00","0"
"2023-06-14 16:00:00","3"
"2023-06-14 0:00:00","0"
"2023-06-13 16:00:00","3"
"2023-06-13 0:00:00","0"
"2023-06-12 16:00:00","3"
"2023-06-12 0:00:00","0"
"2023-06-11 16:00:00","4"
"2023-06-11 5:00:00","1"
"2023-06-11 0:00:00","0"
"2023-06-10 16:00:00","4"
"2023-06-10 5:00:00","1"
"2023-06-10 0:00:00","0"
"2023-06-09 16:00:00","3"
"2023-06-09 0:00:00","0"
"2023-06-08 16:00:00","3"
"2023-06-08 0:00:00","0"
"2023-06-07 16:00:00","3"
"2023-06-07 0:00:00","0"
"2023-06-06 16:00:00","3"
"2023-06-06 8:00:00","0"
"2023-06-06 5:00:00","1"
"2023-06-05 16:00:00","4"
"2023-06-05 5:00:00","0"
"2023-06-04 16:00:00","2"
"2023-06-04 5:00:00","0"
"2023-06-03 16:00:00","4"
"2023-06-03 11:40:00","0"
"2023-06-03 5:00:00","2"
"2023-06-02 5:00:00","4"
"2023-06-01 16:00:00","6"
"2023-06-01 5:00:00","4"
"2023-05-31 16:00:00","6"
"2023-05-31 5:00:00","4"
"2023-05-30 16:00:00","6"
"2023-05-30 5:00:00","4"
"2023-05-29 16:00:00","6"
"2023-05-29 5:00:00","4"
